Items,Preis,Check = Needed ,Quantity,Gemüse & Obst,Preis,Check = Needed ,Quantity,Fleisch,Preis,Check = Needed ,Quantity,Dairy,Preis,Check = Needed ,Quantity,Carbohydrates,Preis,Check = Needed ,Quantity,Drinks,Preis,Check = Needed ,Quantity,Spices & Sauces,Preis,Check = Needed ,Quantity,Frozen,Preis,Check = Needed ,Quantity,Order Deadline (Tuesday Delivery),Order Deadline (Friday Delivery)
Baking Paper,,FALSE,,Apples,"1,89",FALSE,,Bacon,"1,39",FALSE,,Blueberry Yogurt,"0,65",FALSE,,Bagels,"1,79",TRUE,1,Apple Juice,"1,29",TRUE,3,Basil ,"0,99",FALSE,,Frozen Blueberries,"2,99",FALSE,,Monday 8 am,Thursday 8 am
Dish Soap,"0,95",TRUE,1,Arugula,"1,99",FALSE,,Bauchspeck,"4,29",FALSE,,Butter,"2,19",TRUE,1,whole grain Bread,"2,29",TRUE,1,Chai Tee,"2,29",FALSE,,Basilco Sauce,"1,59",TRUE,4,Frozen Mango,"3,29",FALSE,,Delivery should arrive between 6 and 8 pm,Delivery should arrive between 6 and 8 pm
Dishwasher pods,"5,99",FALSE,,Avocados,"1,59",FALSE,,Canned Tuna,"1,39",FALSE,,Butterkäse,"2,99",TRUE,1,Fusilli,"1,39",TRUE,2,Chocolate milk,"3,29",TRUE,1,BBQ sauce,"1,69",FALSE,,Frozen Raspberries,"3,69",FALSE,,,
disinfectant spray,"3,99",FALSE,,Bananas,"0,4",TRUE,8,Chicken,"6,49",TRUE,1,Cheddar,"2,89",FALSE,,Gnocchi,"1,89",TRUE,4,Instant coffee ,"2,69",FALSE,,Buldak Hot sauce,"5,89",FALSE,,Frozen Strawberries,"2,69",FALSE,,,
Garbage Bags,"1,89",FALSE,,Beans ,"1,39",FALSE,,Eggs,"1,99",TRUE,2,Cream Cheese,"1,69",FALSE,,Hamburger Buns,"1,19",TRUE,1,Mango Juice,"1,69",FALSE,,Brown Sugar,"1,69",FALSE,,Ice (Not Crushed),,TRUE,1,,
Hand Soap,"1,69",TRUE,1,Watermelon,"3,99",FALSE,,Ground beef,"3,49",TRUE,6,Gouda,"1,89",TRUE,1,Maccaroni,"1,99",FALSE,,Milk,"0,99",TRUE,1,Canned Tomatoes,"1,19",FALSE,,,,FALSE,,,
Laundry Detergent,"4,49",TRUE,,frozen Broccoli,"1,69",FALSE,,Ham,"2,49",FALSE,,Greek Vanilla Yogurt,"1,99",FALSE,,Musli,"2,49",FALSE,,Orange Juice,"2,49",FALSE,,Chicken Seasoning,"1,99",FALSE,,,,FALSE,,,
Paper Towels,"2,85",TRUE,1,Carrots,"1,19",FALSE,,Pork Steak,"3,79",FALSE,,Heavy Cream,"2,69",TRUE,1,Oats,"0,85",FALSE,,Pomegranate Juice,"2,69",FALSE,,Chili Flakes,"2,39",FALSE,,,,,,,
Sponges,"2,39",TRUE,,Cherry Tomatoes,"0,99",FALSE,,Salami,"1,99",FALSE,,Mozzarella,"1,29",TRUE,1,Rice,"2,99",TRUE,1,Sparkling Water,"2,34",TRUE,1,Cinnamon,"2,19",FALSE,,,,,,,
Swiffer Cloths,"6,79",FALSE,,Cucumber,"0,69",FALSE,,Salmon Fillet,"3,99",FALSE,,Parmesan cheese,"1,89",TRUE,3,Spaghetti,"1,39",FALSE,,Coconut water,"1,99",FALSE,,Dill,"2,29",FALSE,,,,,,,
